((265366, 7870), 0.5442448417708834)
((265366, 370224), 0.4711141641726917)
((26150, 7870), 0.616167190255732)
((26150, 370224), 0.5430365126575403)
((285508, 7868), 0.6731280460858586)
((285508, 3560), 0.40660320881226053)
((285508, 7882), 0.39522569444444444)
((285508, 49876), 0.6333185477506924)
((217078, 7868), 0.659258708479021)
((217078, 3560), 0.42047254641909815)
((217078, 7882), 0.40909503205128206)
((217078, 49876), 0.6194492101438548)
((283142, 7868), 0.6740539720117845)
((283142, 3560), 0.40567728288633464)
((283142, 7882), 0.39429976851851856)
((283142, 49876), 0.6342444736766183)
((192748, 7868), 0.613962647535134)
((192748, 3560), 0.4657686073629852)
((192748, 7882), 0.4543910929951691)
((192748, 49876), 0.5741531491999677)
((8480, 7868), 0.6058637565559442)
((8480, 3560), 0.47386749834217506)
((8480, 7882), 0.462489983974359)
((8480, 49876), 0.5660542582207779)
((8488, 7868), 0.5928670370989305)
((8488, 3560), 0.48686421779918865)
((8488, 7882), 0.47548670343137256)
((8488, 49876), 0.5530575387637643)
((265366, 7868), 0.5901458806818183)
((265366, 3560), 0.48958537421630094)
((265366, 7882), 0.47820785984848485)
((265366, 49876), 0.550336382346652)
((26150, 7868), 0.5182235321969697)
((26150, 3560), 0.5615077227011495)
((26150, 7882), 0.5501302083333334)
((26150, 49876), 0.4784140338618035)
((285508, 217078), 0.7305751068376068)
((285508, 283142), 0.6848330026455026)
((285508, 192748), 0.7781314036877771)
((285508, 8480), 0.7751202721221122)
((285508, 8488), 0.7505081466905456)
((285508, 265366), 0.7217138177074981)
((285508, 26150), 0.42428553120340873)
((217078, 285508), 0.7305751068376068)
((217078, 283142), 0.7315010327635327)
((217078, 192748), 0.6714097082868822)
((217078, 8480), 0.6633108173076923)
((217078, 8488), 0.6503140978506787)
((217078, 265366), 0.6475929414335664)
((217078, 26150), 0.3589648237179487)
((283142, 285508), 0.6848330026455026)
((283142, 217078), 0.7315010327635327)
((283142, 192748), 0.5519395448088089)
((283142, 8480), 0.7681864444974951)
((283142, 8488), 0.45056085073387453)
((283142, 265366), 0.693335830580302)
((283142, 26150), 0.23791785447994163)
((192748, 285508), 0.7781314036877771)
((192748, 217078), 0.6714097082868822)
((192748, 283142), 0.5519395448088089)
((192748, 8480), 0.6226011945115572)
((192748, 8488), 0.7895297258899475)
((192748, 265366), 0.6521430082646497)
((192748, 26150), 0.4804757687006674)
((8480, 285508), 0.7751202721221122)
((8480, 217078), 0.6633108173076923)
((8480, 283142), 0.7681864444974951)
((8480, 192748), 0.6226011945115572)
((8480, 8488), 0.5081672073145665)
((8480, 265366), 0.6036527241516305)
((8480, 26150), 0.41763530969085144)
((8488, 285508), 0.7505081466905456)
((8488, 217078), 0.6503140978506787)
((8488, 283142), 0.45056085073387453)
((8488, 192748), 0.7895297258899475)
((8488, 8480), 0.5081672073145665)
((8488, 265366), 0.6051034673256778)
((8488, 26150), 0.5818544627756017)
